HLLG #,Read bibliography
3959,"David Quixal Santos, La Meseta de Requena - Utiel (Valencia) entre los siglos II a. C. y II d. C.: La Romanización del territorio ibérico de Kelin (Valencia: Diputación de Valencia, 2015), 64-65"
3960,"David Quixal Santos, La Meseta de Requena - Utiel (Valencia) entre los siglos II a. C. y II d. C.: La Romanización del territorio ibérico de Kelin (Valencia: Diputación de Valencia, 2015), 65"
3961,"David Quixal Santos, La Meseta de Requena - Utiel (Valencia) entre los siglos II a. C. y II d. C.: La Romanización del territorio ibérico de Kelin (Valencia: Diputación de Valencia, 2015), 67"
3962,"David Quixal Santos, La Meseta de Requena - Utiel (Valencia) entre los siglos II a. C. y II d. C.: La Romanización del territorio ibérico de Kelin (Valencia: Diputación de Valencia, 2015), 67"
3963,"David Quixal Santos, La Meseta de Requena - Utiel (Valencia) entre los siglos II a. C. y II d. C.: La Romanización del territorio ibérico de Kelin (Valencia: Diputación de Valencia, 2015), 69"
3964,"David Quixal Santos, La Meseta de Requena - Utiel (Valencia) entre los siglos II a. C. y II d. C.: La Romanización del territorio ibérico de Kelin (Valencia: Diputación de Valencia, 2015), 70"
3965,"David Quixal Santos, La Meseta de Requena - Utiel (Valencia) entre los siglos II a. C. y II d. C.: La Romanización del territorio ibérico de Kelin (Valencia: Diputación de Valencia, 2015), 72"
3966,"David Quixal Santos, La Meseta de Requena - Utiel (Valencia) entre los siglos II a. C. y II d. C.: La Romanización del territorio ibérico de Kelin (Valencia: Diputación de Valencia, 2015), 72"
3967,"David Quixal Santos, La Meseta de Requena - Utiel (Valencia) entre los siglos II a. C. y II d. C.: La Romanización del territorio ibérico de Kelin (Valencia: Diputación de Valencia, 2015), 73"
3968,"David Quixal Santos, La Meseta de Requena - Utiel (Valencia) entre los siglos II a. C. y II d. C.: La Romanización del territorio ibérico de Kelin (Valencia: Diputación de Valencia, 2015), 73-74"
3969,"David Quixal Santos, La Meseta de Requena - Utiel (Valencia) entre los siglos II a. C. y II d. C.: La Romanización del territorio ibérico de Kelin (Valencia: Diputación de Valencia, 2015), 74-75"
3970,"David Quixal Santos, La Meseta de Requena - Utiel (Valencia) entre los siglos II a. C. y II d. C.: La Romanización del territorio ibérico de Kelin (Valencia: Diputación de Valencia, 2015), 83"
3971,"David Quixal Santos, La Meseta de Requena - Utiel (Valencia) entre los siglos II a. C. y II d. C.: La Romanización del territorio ibérico de Kelin (Valencia: Diputación de Valencia, 2015), 83"
3972,"David Quixal Santos, La Meseta de Requena - Utiel (Valencia) entre los siglos II a. C. y II d. C.: La Romanización del territorio ibérico de Kelin (Valencia: Diputación de Valencia, 2015), 84"
3973,"David Quixal Santos, La Meseta de Requena - Utiel (Valencia) entre los siglos II a. C. y II d. C.: La Romanización del territorio ibérico de Kelin (Valencia: Diputación de Valencia, 2015), 92"
3974,"David Quixal Santos, La Meseta de Requena - Utiel (Valencia) entre los siglos II a. C. y II d. C.: La Romanización del territorio ibérico de Kelin (Valencia: Diputación de Valencia, 2015), 92"
3975,"David Quixal Santos, La Meseta de Requena - Utiel (Valencia) entre los siglos II a. C. y II d. C.: La Romanización del territorio ibérico de Kelin (Valencia: Diputación de Valencia, 2015), 97"
3976,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 120"
3977,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 122
"
3978,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 122"
3979,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 125

F. J. Ávila Jiménez, ""Notas sobre la minería romana – republicana bajo extremeña: las explotaciones de plomo de la Sierra de Hornachos (Badajoz),"" Anas 2/3 (1989-1990), 123-134
"
3980,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 125"
3981,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 125"
3982,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 126"
3983,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 127"
3984,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 127"
3985,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 128"
3986,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 129"
3987,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 135-137"
3988,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 137"
3989,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 146-148"
3990,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 149"
3991,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 150-151"
3992,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 163"
3993,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 164"
3994,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 165

García-Entero, Los balnea, 346"
3995,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 165-166"
3996,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 166-167"
3997,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 168

 García-Entero, Los balnea, 343"
3998,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 175"
3999,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 175-176"
4000,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 176-177"
4001,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 178"
4002,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 178-179"
4003,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 180"
4004,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 182-183"
4005,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 183"
4006,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 184"
4007,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 189"
4008,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 190"
4009,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 190"
4010,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 190"
4011,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 195

Ana Belén Olmedo Grajera and Raquel Nodar Becerra, ""Una instalación industrial junto a la Vía de la Plata: intervención arqueológica realizada en la finca de ""Las Rozas"","" Mérida: Excavaciones Arqueológicas 7 (2001), 209-230"
4012,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 197"
4013,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 198"
4014,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 198-199

José Manuel Jerez Linde, ""Prospecciones arqueológicas en la villa romana de “La Tiesa” (Lobón, Badajoz): Las cerámicas,"" "
4015,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 199"
4016,"Tomás Cordero Ruis, ""El territorio emeritense durante la antigüedad tardía (siglos IV-VIII): Génesis y evolución del mundo rural lusitano,"" Anejos de la AEspA 56 (Mérida, 2013), 202-203

García-Entero, Los balnea, 331"
4017,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 53

María Luisa Revilla Andia, Carta arqueológica. Soria. Tierra de Almazan (Soria, 1985), 16-18"
4018,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 53-54"
4019,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 58"
4020,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 58

María Luisa Revilla Andia, Carta arqueológica. Soria. Tierra de Almazan (Soria, 1985), 19-21"
4021,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 58

María Luisa Revilla Andia, Carta arqueológica. Soria. Tierra de Almazan (Soria, 1985), 22-25"
4022,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 59"
4023,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 59"
4024,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 61-62"
4025,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 62"
4026,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 62

María Luisa Revilla Andia, Carta arqueológica. Soria. Tierra de Almazan (Soria, 1985), 148-153"
4027,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 62-63

Alfredo Jimeno Martínez and J. Javier Fernández Moreno. Los Tolmos de Caracena (Soria) Excavaciones Arqueológicos en España 161. Madrid: Instituto de Conservación y Restauración de Bienes Culturales, 1991. "
4028,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 66"
4029,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 66"
4030,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 66"
4031,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 68"
4032,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 68-69"
4033,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 69-71"
4034,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 71-72"
4035,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 72-75"
4036,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 76"
4037,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 76-77"
4038,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 77"
4039,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 83"
4040,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 83"
4041,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 83"
4042,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 84"
4043,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 84"
4044,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 86"
4045,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 87"
4046,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 88

María Luisa Revilla Andia, Carta arqueológica. Soria. Tierra de Almazan (Soria, 1985), 218-224"
4047,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 88-90"
4048,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 90-96

A. J. Martínez, ""Numancia: relación necrópolis-poblado,"" Archivo español de arqueología, 69.173 (1996), 57-76

Alfredo, J., Antonio, C., Sergio, Q., Raquel, L., & Ángel, S. (2012). Interpretación estratigráfica de Numancia y ordenación cronológica de sus cerámicas. Complutum, 23(1), 203-218. 
"
4049,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 106"
4050,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 107"
4051,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 107-111"
4052,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 111-112

María Luisa Revilla Andia, Carta arqueológica. Soria. Tierra de Almazan (Soria, 1985), 218-224"
4053,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 112-113"
4054,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 115"
4055,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 116-118"
4056,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 118"
4057,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 119"
4058,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 120"
4059,"Verónica Pérez de Dios and María de los Reyes de Soto García, ""Los Villares (Fresno Alhándiga, Salamanca): un complejo termal junto a la Vía de la Plata,"" Munibe 68 (2017), no page numbers."
4060,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 120"
4061,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 121"
4062,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 122"
4063,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 125-126"
4064,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 125-126"
4066,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 133-134"
4067,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 135-136"
4068,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 136

María Luisa Revilla Andia, Carta arqueológica. Soria. Tierra de Almazan (Soria, 1985), 260-265"
4069,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 169"
4070,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 170"
4071,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 174"
4072,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 174

María Luisa Revilla Andia, Carta arqueológica. Soria. Tierra de Almazan (Soria, 1985), 269-275"
4073,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 174"
4074,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 176"
4075,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 176

J. Albeto Bachiller Gil, ""Los castros del Alto Duero,"" Anales de Prehistoria y Arqueología 3 (1987), 77-84"
4076,"Eusebio Dohijo, La Antigüedad Tardía en el Alto Valle del Duero, BAR International Series 2199 (Oxford: BAR, 2011), 105"
4077,"Juan Ángel Paz Peralta, Cerámica de mesa romana de los siglos III al VI dC. en la provincia de Zaragoza (Zaragoza, 1991), 207, 215"
4078,"Roses Aurora Luezas Pascual, ""Producción y consumo de cerámica romana en el municipium Calagurris iulia nassica (Calahorra, La Rioja),"" in Ex officina hispana 2 (2015), 369-388.

J. Carlos Saénz Preciado and Maria Pilar Sáenz Preciado,“Producciones de Terra Sigillata Gálica Tardía gris y anaranjada aparecidas en La Rioja (España),” SFECAG: Actes du Congres de Rouen (1995) 163-170."
4079,"J. Carlos Saénz Preciado and Maria Pilar Sáenz Preciado,“Producciones de Terra Sigillata Gálica Tardía gris y anaranjada aparecidas en La Rioja (España),” SFECAG: Actes du Congres de Rouen (1995) 163-170, at 167

Alejandro Marcos Pous, Trabajos arqueológicos en Libia de los Berones (Logroño, 1979)"
4080,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 173"
4081,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174"
4082,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174"
4083,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174"
4084,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174"
4085,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174"
4086,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174"
4087,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174"
4088,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174

L. Sagredo San Eustaquio, ""Tesorillo tardorromano en la Meseta Norte,"" NVMVS 7-8 (1985), 47-54

Jose Ignacio Gallego, ""Nuevas aportaciones al conocimiento urbanístico y arquitectónico de Cauca (Coca, Segovia, Hispania Citerior) en época romana,"" unpublished (?) essay posted on Academia.edu

"
4089,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174"
4090,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174"
4091,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174"
4092,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174"
4093,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174"
4094,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174"
4095,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174"
4096,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174"
4097,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174"
4098,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174

Juan Ángel Paz Peralta, Cerámica de mesa romana de los siglos III al VI dC. en la provincia de Zaragoza (Zaragoza, 1991), at 160"
4099,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174"
4100,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174"
4101,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174"
4102,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174

José María Gonzalo González, ""Articulación del paisaje rural de época romana en la actual provincia de Segovia: el papel de las villae,"" in Las ""villae"" tardorromanas en el Occidente del Imperio. Arquitectura y función, ed. Carmen Fernández Ochoa, Virginia García Entero, and Fernando Gil Sendino (Gijón, 2008), 617-627, at 621-622

José María Izquierdo Bertiz, ""Excavaciones en las Vegas de Pedraza, Santiuste de Pedraza (Segovia), 1972-1973,"" Noticiario arqueológico hispánico 5 (1977-1978), 303-311
"
4103,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174"
4104,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174"
4105,"Luis Carlos Juan Tovar and Juan Fco. Blanco García, “Cerámica común tardorromana, imitación de sigillata, en la provincia de Segovia,” AespA 70 (1997), 171-219, at 174"
4106,"Sebastián Rascón Marqués, La ciudad hispanorromana de Complutum, Cuadernos del Juncal 2 (Alcalá de Henares: Ayuntamiento de Alcalá de Henares, 1995), 65-67"
4107,"Sebastián Rascón Marqués, La ciudad hispanorromana de Complutum, Cuadernos del Juncal 2 (Alcalá de Henares: Ayuntamiento de Alcalá de Henares, 1995), 67"
